MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS
10282,Battery Park City,Manhattan,78,1414.21,5515.44,15,271.96,11.11,702
10301,Silver Lake/St. George,Staten Island,1260,3180.73,39613.55,106,267.59,17.87,7052
10302,Elm Park,Staten Island,652,3472.89,18773.99,32,170.45,22.15,2944
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,914,3484.34,26231.66,45,171.55,20.27,4509
10304,New Dorp/Todt Hill,Staten Island,1434,3378.19,42448.71,182,428.75,18.75,7650
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1299,3052.09,42560.99,80,187.97,18.51,7016
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1510,2812.67,53685.66,82,152.74,16.61,9093
10307,Tottenville,Staten Island,403,2648.78,15214.56,15,98.59,18.38,2193
10308,Great Kills,Staten Island,674,2274.31,29635.33,28,94.48,16.74,4027
10309,Charleston/Prince's Bay/Woodrow,Staten Island,876,2654.14,33004.98,31,93.93,17.15,5107
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,730,3058.11,23870.96,33,138.24,17.16,4253
10312,Annadale/Rossville,Staten Island,1583,2625.02,60304.33,59,97.84,17.42,9088
10314,Bloomfield/Freshkills Park,Staten Island,2761,3039.6,90834.29,202,222.38,18.22,15152
10451,Concourse/Melrose,Bronx,1649,3455.66,47718.77,148,310.15,18.3,9010
10452,Concourse/Highbridge,Bronx,2582,3351.72,77035.04,169,219.38,19.38,13325
10453,Morris Heights/Mount Hope/University Heights,Bronx,2552,3143.48,81184.04,163,200.78,20.48,12463
10454,Mott Haven/Port Morris,Bronx,1213,3173.45,38223.41,105,274.7,17.93,6765
10455,Mott Haven,Bronx,1381,3274.5,42174.38,108,256.08,19.49,7086
10456,Claremont/Morrisania,Bronx,2696,2885.22,93441.91,286,306.07,17.86,15096
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2313,3097.01,74685.06,185,247.71,18.28,12654
10458,Belmont/Fordham University/Kingsbridge,Bronx,2236,2668.01,83807.74,125,149.15,18.87,11848
10459,Charlotte Gardens/Hunts Point,Bronx,1593,3294.42,48354.56,166,343.3,19.53,8158
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,1772,2949.73,60073.25,126,209.74,19.35,9156
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,1919,3878.37,49479.56,137,276.88,19.19,10001
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2373,3068.57,77332.41,177,228.88,18.16,13069
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2156,3024.38,71287.33,210,294.58,15.82,13631
10464,City Island,Bronx,129,2963.37,4353.16,9,206.75,14.86,868
10465,Country Club/Throgs Neck,Bronx,1557,3618.37,43030.43,83,192.89,18.89,8242
10466,Edenwald/Wakefield,Bronx,2521,3493.3,72166.65,166,230.02,21.72,11607
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,3627,3598.78,100784.05,315,312.55,20.56,17641
10468,Fordham/Kingsbridge/University Heights,Bronx,2949,3845.8,76681.12,219,285.6,19.47,15149
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3155,4412.08,71508.25,355,496.45,21.54,14650
